hip,magnitude,ra_degrees,dec_degrees
677,2.069999933242798,2.09653333,29.09082805
746,2.2799999713897705,2.29204036,59.15021814
765,3.880000114440918,2.35224949,-45.74698836
1067,2.8299999237060547,3.30895828,15.18361593
1547,8.359999656677246,4.82092175,14.05479812
1562,3.559999942779541,4.85701265,-8.82382948
1599,4.230000019073486,5.00797581,-64.8776232
2021,2.819999933242798,6.41334183,-77.25503511
2081,2.4000000953674316,6.57028075,-42.30512197
2247,9.619999885559082,7.14384042,-16.22578934
2484,4.360000133514404,7.88566992,-62.95808549
2912,4.340000152587891,9.22016239,33.71935227
2920,3.690000057220459,9.24277921,53.89693161
3031,4.340000152587891,9.63958024,29.312369
3092,3.2699999809265137,9.83165567,30.86122579
3179,2.240000009536743,10.12661349,56.53740928
3419,2.0399999618530273,10.89678452,-17.9866841
3479,7.78000020980835,11.11019153,-26.51604473
3693,4.079999923706055,11.83495908,24.26737703
3786,4.440000057220459,12.17039736,7.58520186
3821,3.4600000381469727,12.27125262,57.8165477
3881,4.53000020980835,12.45345723,41.07895474
4422,4.619999885559082,14.16671042,59.18116582
4427,2.1500000953674316,14.17708808,60.71674966
4436,3.859999895095825,14.18790699,38.49925513
4463,4.400000095367432,14.30178237,23.41775997
4577,4.300000190734863,14.65144118,-29.35746436
4906,4.269999980926514,15.73606615,7.89007256
5054,7.71999979019165,16.16782838,-39.48693482
5165,3.319999933242798,16.52127713,-46.71849042
5348,3.940000057220459,17.0960837,-55.24583235
5364,3.4600000381469727,17.14693197,-10.181928
5434,4.260000228881836,17.37550908,47.2418241
5447,2.069999933242798,17.43248991,35.62083048
5529,8.0600004196167,17.6960883,-66.18786313
5586,4.510000228881836,17.91494471,30.08972962
5737,5.210000038146973,18.43250986,7.57548895
5742,4.670000076293945,18.43723014,24.58376482
6193,4.739999771118164,19.86657455,27.26408682
6411,4.869999885559082,20.58497087,45.5287566
6537,3.5999999046325684,21.00604671,-8.18275372
6643,7.119999885559082,21.30145418,28.56707875
6686,2.6600000858306885,21.45251267,60.23540347
6867,3.4100000858306885,22.0914236,-43.31772906
7083,3.930000066757202,22.81242306,-49.07307701
7097,3.619999885559082,22.87080776,15.34583101
7513,4.099999904632568,24.19990413,41.40638491
7588,0.449999988079071,24.42813204,-57.23666007
7607,3.5899999141693115,24.49792651,48.62848641
7884,4.449999809265137,25.35794814,5.48760445
8068,4.010000228881836,25.9150637,50.6887655
8102,3.490000009536743,26.02136441,-15.93955597
8198,4.260000228881836,26.34828629,9.15764102
8645,3.740000009536743,27.86504416,-10.33494526
8796,3.4200000762939453,28.27041595,29.57939727
8832,3.880000114440918,28.38235506,19.29409264
8886,3.3499999046325684,28.59868107,63.67014686
8903,2.640000104904175,28.65978771,20.80829949
9007,3.690000057220459,28.98680207,-51.60958673
9236,2.859999895095825,29.69113269,-61.56992444
9487,3.819999933242798,30.51166929,2.76376048
9640,2.0999999046325684,30.97466283,42.32984832
9677,4.679999828338623,31.12262534,-29.29683966
9884,2.009999990463257,31.79285757,23.46277743
10064,3.0,32.38550383,34.98739204
10670,4.03000020980835,34.32848216,33.84732099
10826,6.46999979019165,34.83661103,-2.97706055
11001,4.079999923706055,35.43759585,-68.6594239
11407,4.239999771118164,36.74627081,-47.70382692
11484,4.300000190734863,37.03965786,8.4600887
11767,1.9700000286102295,37.94614689,89.26413805
12191,7.28000020980835,39.25808932,42.06273007
12225,5.300000190734863,39.35110362,-52.54308845
12387,4.079999923706055,39.87061789,0.3285168
12413,4.739999771118164,39.94966387,-42.89163328
12484,5.210000038146973,40.16491631,-54.54992422
12486,4.110000133514404,40.16638213,-39.85530905
12653,5.400000095367432,40.63816025,-50.80082665
12706,3.4700000286102295,40.82551897,3.23617162
12770,4.239999771118164,41.03064356,-13.85867594
12777,4.099999904632568,41.04869991,49.22866639
12828,4.269999980926514,41.23488901,10.11421979
12843,4.46999979019165,41.27492276,-18.57265077
12961,10.25,41.67791744,-23.08695475
13061,4.519999980926514,41.97683942,29.24742385
13147,4.449999809265137,42.27233113,-32.40628403
13192,8.170000076293945,42.43465843,71.75331104
13209,3.609999895095825,42.49578911,27.26079044
13268,3.7699999809265137,42.67413655,55.89552955
13288,4.760000228881836,42.75977464,-21.0039789
13531,3.930000066757202,43.564427,52.76248991
13701,3.890000104904175,44.10668245,-8.89760976
